date,seasonal,trend,resid,observed,weights,rt
195801,32.94717147435895,99.45486111111117,-23.20203258547012,109.2,1.0,76.25282852564105
195802,19.056177884615355,99.31111111111117,-9.167288995726526,109.2,1.0,90.14382211538465
195803,19.418453525641,99.16736111111118,-7.985814636752181,110.6,1.0,91.181546474359
195804,2.5004727564102276,99.02361111111117,0.5759161324786013,102.1,1.0,99.59952724358976
195805,-3.935713141025669,98.87986111111117,3.2558520299145037,98.2,1.0,102.13571314102568
195806,-34.884142628205154,98.73611111111117,15.348031517093986,79.2,1.0,114.08414262820516
195807,-42.14666399572649,98.57083333333333,28.77583066239317,85.2,1.0,127.34666399572649
195808,-53.03877938034187,98.49166666666666,-30.052887286324783,15.4,1.0,68.43877938034188
195809,-19.925125534188016,98.28333333333333,31.54179220085469,109.9,1.0,129.82512553418803
195810,24.604618055555587,97.925,8.970381944444416,131.5,1.0,106.89538194444441
195811,17.850900106837642,96.77916666666667,4.569933226495692,119.2,1.0,101.34909989316236
195812,37.552630876068434,94.35416666666666,-21.306797542735097,110.6,1.0,73.04736912393156
195901,32.94717147435895,92.13333333333333,-10.780504807692282,114.3,1.0,81.35282852564104
195902,19.056177884615355,92.88333333333333,-9.739511217948678,102.2,1.0,83.14382211538465
195903,19.418453525641,90.44166666666666,2.7398798076923327,112.6,1.0,93.181546474359
195904,2.5004727564102276,86.78333333333333,2.216193910256441,91.5,1.0,88.99952724358977
195905,-3.935713141025669,85.62083333333332,-0.3851201923076566,81.3,1.0,85.23571314102567
195906,-34.884142628205154,85.32916666666665,-12.545024038461499,37.9,1.0,72.78414262820516
195907,-42.14666399572649,86.07499999999999,29.271663995726506,73.2,1.0,115.34666399572649
195908,-53.03877938034187,86.45833333333333,11.980446047008542,45.4,1.0,98.43877938034187
195909,-19.925125534188016,83.82916666666665,-42.60404113247864,21.3,1.0,41.22512553418801
195910,24.604618055555587,81.07499999999999,26.620381944444436,132.3,1.0,107.69538194444442
195911,17.850900106837642,81.85416666666666,-9.2050667735043,90.5,1.0,72.64909989316236
195912,37.552630876068434,83.55833333333332,11.189035790598254,132.3,1.0,94.74736912393158
196001,32.94717147435895,82.65,-5.097171474358959,110.5,1.0,77.55282852564105
196002,19.056177884615355,80.87916666666666,15.264655448717985,115.2,1.0,96.14382211538465
196003,19.418453525641,81.36666666666666,-64.28512019230766,36.5,1.0,17.081546474359
196004,2.5004727564102276,82.1375,16.86202724358977,101.5,1.0,98.99952724358977
196005,-3.935713141025669,84.125,9.81071314102567,90.0,1.0,93.93571314102567
196006,-34.884142628205154,84.87916666666666,20.104975961538486,70.1,1.0,104.98414262820515
196007,-42.14666399572649,84.82916666666667,-23.48250267094017,19.2,1.0,61.346663995726495
196008,-53.03877938034187,85.00833333333333,24.930446047008544,56.9,1.0,109.93877938034187
196009,-19.925125534188016,87.86666666666667,-46.44154113247866,21.5,1.0,41.42512553418801
196010,24.604618055555587,90.76666666666667,35.22871527777774,150.6,1.0,125.9953819444444
196011,17.850900106837642,90.40833333333333,11.640766559829032,119.9,1.0,102.04909989316236
196012,37.552630876068434,90.32916666666667,-6.8817975427351,121.0,1.0,83.44736912393157
196101,32.94717147435895,91.13750000000002,-3.4846714743589757,120.6,1.0,87.65282852564104
196102,19.056177884615355,90.2875,0.05632211538465626,109.4,1.0,90.34382211538465
196103,19.418453525641,88.76666666666667,2.7148798076923413,110.9,1.0,91.481546474359
196104,2.5004727564102276,87.5625,6.637027243589776,96.7,1.0,94.19952724358977
196105,-3.935713141025669,85.95416666666667,4.181546474359006,86.2,1.0,90.13571314102568
196106,-34.884142628205154,85.78333333333335,21.10080929487181,72.0,1.0,106.88414262820515
196107,-42.14666399572649,85.85416666666667,-7.007502670940177,36.7,1.0,78.84666399572649
196108,-53.03877938034187,85.70416666666667,-13.665387286324794,19.0,1.0,72.03877938034188
196109,-19.925125534188016,84.97916666666666,-42.15404113247864,22.9,1.0,42.82512553418802
196110,24.604618055555587,84.49583333333334,11.199548611111073,120.3,1.0,95.6953819444444
196111,17.850900106837642,83.97916666666666,9.769933226495695,111.6,1.0,93.74909989316235
196112,37.552630876068434,83.55,4.097369123931571,125.2,1.0,87.64736912393157
196201,32.94717147435895,83.25833333333333,1.8944951923077156,118.1,1.0,85.15282852564104
196202,19.056177884615355,83.30833333333332,5.935488782051319,108.3,1.0,89.24382211538465
196203,19.418453525641,86.99166666666666,-11.810120192307664,94.6,1.0,75.181546474359
196204,2.5004727564102276,90.52916666666667,8.37036057692311,101.4,1.0,98.89952724358977
196205,-3.935713141025669,89.725,-16.68928685897433,69.1,1.0,73.03571314102567
196206,-34.884142628205154,88.11249999999998,25.57164262820517,78.8,1.0,113.68414262820515
196207,-42.14666399572649,87.96249999999999,-22.91583600427351,22.9,1.0,65.04666399572648
196208,-53.03877938034187,88.20416666666665,-1.1653872863247798,34.0,1.0,87.03877938034188
196209,-19.925125534188016,89.125,27.100125534188013,96.3,1.0,116.22512553418801
196210,24.604618055555587,89.69583333333333,17.4995486111111,131.8,1.0,107.19538194444442
